repeat,outer_fold,config_id,hidden_size1,hidden_size2,hidden_size3,lr,weight_decay,dropout,inner_selected_threshold,inner_selected_epochs_median,inner_pr_auc,inner_roc_auc,inner_recall,inner_specificity,inner_balanced_accuracy,inner_mcc,inner_f1_score,inner_accuracy,inner_threshold,inner_tp,inner_tn,inner_fp,inner_fn
8,4,3,32,32,16,0.0005,0.001,0.4,0.565,4,0.3372739639411764,0.7155621301775148,0.2153846153846154,0.9923076923076923,0.6038461538461539,0.37123793496316737,0.33333333333333337,0.9216783216783216,0.565,14,645,5,51
8,4,4,48,48,32,0.001,0.0001,0.5,0.48499999999999993,8,0.5594302695505049,0.8634319526627219,0.24615384615384617,0.9876923076923076,0.6169230769230769,0.37324924971386525,0.3595505617977528,0.9202797202797203,0.48499999999999993,16,642,8,49
8,4,5,32,32,48,0.0005,0.0001,0.2,0.5049999999999999,24,0.5274316786278895,0.8356094674556214,0.46153846153846156,0.9846153846153847,0.7230769230769232,0.5581052602166382,0.5714285714285714,0.9370629370629371,0.5049999999999999,30,640,10,35
9,0,0,80,32,16,0.0003,0.001,0.4,0.49999999999999994,20,0.610086071494808,0.84794921875,0.46875,0.9765625,0.72265625,0.5233544193516777,0.5504587155963303,0.9303977272727273,0.49999999999999994,30,625,15,34
9,0,1,80,32,32,0.0005,0.0001,0.4,0.5049999999999999,5,0.5199359711788248,0.7391479492187499,0.28125,0.9984375,0.63984375,0.4961705059317699,0.43373493975903615,0.9332386363636364,0.5049999999999999,18,639,1,46
9,0,2,64,48,16,0.0005,0.0005,0.4,0.4649999999999999,6,0.35517309779085454,0.7593994140625,0.90625,0.56875,0.7375,0.27346357570509655,0.29145728643216084,0.5994318181818182,0.4649999999999999,58,364,276,6
9,0,3,80,32,24,0.0003,0.0005,0.2,0.5549999999999999,31,0.4832784133473901,0.7454711914062501,0.328125,0.996875,0.6625,0.525564304550314,0.4827586206896551,0.9360795454545454,0.5549999999999999,21,638,2,43
9,0,4,48,32,24,0.0005,0.001,0.2,0.4749999999999999,9,0.5172368849004192,0.84168701171875,0.484375,0.9703125,0.72734375,0.5088843707093917,0.5438596491228069,0.9261363636363636,0.4749999999999999,31,621,19,33
9,0,5,32,64,48,0.001,0.0001,0.2,0.72,13,0.477777020652802,0.80616455078125,0.375,0.996875,0.6859375,0.5668595088252749,0.5333333333333333,0.9403409090909091,0.72,24,638,2,40
9,1,0,64,16,16,0.001,0.001,0.5,0.5249999999999999,14,0.46160614432711305,0.7763905325443786,0.36923076923076925,0.9969230769230769,0.6830769230769231,0.5623162992556938,0.5274725274725275,0.9398601398601398,0.5249999999999999,24,648,2,41
